Quantidade,Esforço AVL,Esforço Rubro-Negra,Esforço Árvore B(1),Esforço Árvore B(5),Esforço Árvore B(10)
1000,92973.0,24749.0,52086.0,43985.0,46921.0
2000,203954.0,53182.0,111466.0,93416.0,98435.0
3000,320045.0,83548.0,172766.0,144534.0,151978.0
4000,443252.0,115247.0,238107.0,196481.0,205698.0
5000,568375.0,145658.0,304292.0,247996.0,261090.0
6000,693914.0,178954.0,371639.0,302749.0,317366.0
7000,826109.0,210493.0,436282.0,358179.0,374261.0
8000,961932.0,245964.0,504381.0,413403.0,431722.0
9000,1101817.0,280633.0,575578.0,469853.0,488078.0
10000,1237494.0,315432.0,646728.0,523253.0,547076.0
