Quantidade,Esforço AVL,Esforço Rubro-Negra,Esforço Árvore B(1),Esforço Árvore B(5),Esforço Árvore B(10)
1000,92363.0,24554.0,45701.0,43196.0,46546.0
2000,202882.0,53123.0,97678.0,91806.0,96593.0
3000,322340.0,83946.0,149928.0,141375.0,148287.0
4000,445567.0,115588.0,205431.0,190566.0,198613.0
5000,575219.0,148670.0,260625.0,240670.0,250246.0
6000,707865.0,182271.0,315683.0,289040.0,301488.0
7000,838772.0,215717.0,373809.0,342588.0,353287.0
8000,977068.0,250921.0,431258.0,394022.0,405419.0
9000,1119490.0,288078.0,489573.0,444187.0,456903.0
10000,1252148.0,324652.0,545063.0,496203.0,507581.0
